,Player,Weighted Rank,Rank,Trend,Pos,Years,3P_Percentile,FG%_Percentile,TRB_Percentile,FT%_Percentile,AST_Percentile,STL_Percentile,BLK_Percentile,PTS_Percentile
234,Kelly Olynyk,4.999319645339577,5.3654588285192775,-0.36613918317969996,['C' 'C-PF' 'PF'],5,0.701354810245237,0.6359671166373077,0.7427420845228467,0.6615836670226107,0.6780891196474121,0.6662387148008261,0.6753771729393525,0.6264407672668214
213,Josh Giddey,4.996995192307692,4.996995192307692,0.001235656575743741,['SF'],1,0.49759615384615385,0.3161057692307692,0.8629807692307693,0.27403846153846156,0.9206730769230769,0.6538461538461539,0.5168269230769231,0.625
80,Davion Mitchell,4.99579326923077,4.99579326923077,0.0012353593643003877,['PG'],1,0.7223557692307693,0.3076923076923077,0.36778846153846156,0.15745192307692307,0.8894230769230769,0.6959134615384616,0.6189903846153846,0.734375
367,Steven Adams,4.970796076348543,5.175284366235457,-0.20448828988691445,['C'],5,0.042719715102273174,0.9374078794809314,0.9675620477342749,0.03616460354281525,0.6344602759945304,0.8305651770127793,0.8989752405012054,0.6571078341892598
247,Kevin Porter Jr.,4.967544509209436,4.741581781510046,0.9038509107975594,['PG' 'SF'],2,0.6790421402476152,0.3786343109397199,0.5004947229551451,0.2238748224071443,0.7642201136594275,0.7330890374467222,0.47440442967322916,0.6445383854272376
297,Monte Morris,4.963492730526872,4.896087506945069,0.08987363144240472,['PG'],4,0.6494202517383334,0.690185928989939,0.3628767016675046,0.7169879138108863,0.8412602458618392,0.6963654695835865,0.32460135590633543,0.6589882803935284
433,Derrick Rose,4.9479846359554704,4.833646742785887,0.2286757863391673,['PG'],3,0.47353550874343053,0.7012999184877339,0.26710260915094813,0.875576193616704,0.8276029375407826,0.5480443576449846,0.42700283833360536,0.750960217659958
94,Deni Avdija,4.945752463200739,4.395110695631529,2.20256707027684,['SF'],2,0.5799605294396961,0.3101599596391263,0.779556920702754,0.2849462844254511,0.5201299857549857,0.599008784425451,0.6448450854700855,0.4870281339031339
111,Draymond Green,4.941969408680285,5.23092306729932,-0.2889536586190349,['PF'],5,0.40234298805181046,0.4878389274786727,0.8258929137976917,0.38154330216973686,0.9395774960809499,0.8817625166624617,0.8707881015477469,0.43793396816722663
77,Darius Bazley,4.940874987589127,4.389149879130366,1.1034502169175224,['PF'],3,0.5947809416660194,0.1898748372326502,0.7843254467906329,0.2408993606030765,0.39597180303626356,0.45939139680069757,0.8024530313356903,0.568420080291599
47,Cameron Johnson,4.938191033990913,4.641347350588134,0.5936873668055573,['PF'],3,0.8300255880923206,0.4165812242485139,0.5312468887318639,0.7423334698950353,0.44397754541407425,0.5816790261271352,0.4777512145430278,0.5986048703039688
215,Josh Hart,4.9366814021613425,4.652588531823582,0.28409287033776026,['SG' 'SF'],5,0.6686298423772765,0.4646700835515965,0.7459995297554821,0.34862860574333315,0.5616042320568863,0.6977405545284692,0.49365994293970167,0.5391525427591506
53,Chris Boucher,4.929085088571253,4.00132951607557,1.2370074299942444,['PF' 'C'],4,0.46435355827306163,0.662221167811368,0.6253112326187444,0.6206109192661899,0.1342065862398292,0.3483776970719744,0.8523906329997686,0.4676368826667062
302,Myles Turner,4.928618501747489,5.189075507075171,-0.26045700532768185,['C'],5,0.60131416455307,0.6945319527347487,0.8130317194694954,0.44895034552217394,0.3590563180486404,0.5434813665912526,0.9918336140068653,0.6543085876386927
486,Victor Oladipo,4.909592289085556,5.2747394651403,-0.7302943521094868,['SG'],3,0.7320734330086648,0.3945702358445901,0.5403789033972113,0.4654283710081706,0.7844665715408317,0.8017577599933826,0.5188707507648704,0.7335963715044792
155,Immanuel Quickley,4.909570868945962,4.766257122507122,0.5732549857553602,['PG'],2,0.829948658594492,0.1260639245014245,0.4530968067426401,0.9171103395061728,0.76113633665717,0.5419634377967711,0.2000133547008547,0.729255698005698
59,Clint Capela,4.9073505685332055,4.949175300166104,-0.041824731632898154,['C'],5,0.03559570454818346,0.9606998510524167,0.980286233639377,0.05519068318464666,0.34406038064943273,0.6026186497509612,0.9722876766992613,0.753190693880178
605,Nikola Mirotić,4.900540531605435,5.038518249140439,-0.5519108701400178,['PF'],2,0.8233007140967998,0.469343427664639,0.7763455435070088,0.7782431896323724,0.3139645596403068,0.4574021422903994,0.7277770431102883,0.6579674689235652
338,Reggie Jackson,4.8991003739040275,4.519843614633439,0.3792567592705881,['SG' 'SG-PG' 'PG'],5,0.7492471497138065,0.29722118605452136,0.38690226201603367,0.7756361759599849,0.8304066778703136,0.47188147409675024,0.20239129276024656,0.6712930385845178
75,Danny Green,4.895661798093426,5.109412156557768,-0.21375035846434265,['SF' 'SG'],5,0.8565738001655202,0.26797533634745385,0.5647443609845741,0.5152498416766129,0.5078275898485152,0.8486278963645721,0.8380964747238562,0.5509647227293487
326,Patty Mills,4.87948500567336,4.857799675705323,0.02168532996803752,['SG' 'PG'],5,0.9290513413399409,0.2823864390888428,0.2934077371768179,0.8658148650575189,0.7465511016410661,0.652109232221249,0.23465474833531488,0.7139624314588766
173,Jakob Poeltl,4.862128353884887,4.48708607534061,0.3750422785442768,['C'],5,0.056010684305268475,0.9660696440006158,0.8686984417726903,0.03211535414050966,0.5539355959937563,0.5191275295516373,0.9669705530546375,0.5116253857960285
105,Dillon Brooks,4.861596064057221,5.062419922949873,-0.2677651451902024,['SF' 'SG'],4,0.7330681270542777,0.3121549252575253,0.4569095213937655,0.6136427254583586,0.62473290546775,0.7600932802023579,0.48655026489821573,0.7690834992877822
31,Bones Hyland,4.860576923076923,4.860576923076923,0.0012019230769230763,['SG'],1,0.8209134615384616,0.19591346153846154,0.43990384615384615,0.8209134615384616,0.7584134615384616,0.5132211538461539,0.5168269230769231,0.6514423076923077
